Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.723417, F1 Score: [ 0.63993686  0.73762509] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.723373, F1 Score: [ 0.68764296  0.75819462] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.569268, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.779355, F1 Score: [ 0.7432555   0.77728534] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.704432, F1 Score: [ 0.6794229   0.75465936] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.760369, F1 Score: [ 0.71410262  0.74924018] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.760857, F1 Score: [ 0.65586074  0.74504807] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.684115, F1 Score: [ 0.64658205  0.72778672] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.796079, F1 Score: [ 0.83345235  0.81366606] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.757353, F1 Score: [ 0.72535211  0.77205942] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.718494, F1 Score: [ 0.67545795  0.75290073] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.641042, F1 Score: [ 0.55032215  0.70105605] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.716897, F1 Score: [ 0.68211278  0.75563925] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.815331, F1 Score: [ 0.8182323  0.803709 ] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.740496, F1 Score: [ 0.67565904  0.7528529 ] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.819234, F1 Score: [ 0.834954    0.82914278] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.730737, F1 Score: [ 0.69390645  0.76085496] 
Params: Namespace(batch_size=100, dropout=0.2, epochs=5, learning_rate=0.1, model_path='./model/model', plot=False, report=False, restore=False, save_scores=True, test=True, validation=10, weight_decay=0.1) --> Accuracy: 0.430732, F1 Score: [ 0.          0.60211453] 
